2022-09-22 20:03:23,545 server_msg:347, [0], [0.99905455], [[ 61 110 117 272]]
2022-09-22 20:03:23,788 server_msg:348, [0], [0.99938214], [[ 62 107 113 276]]
2022-09-22 20:03:23,981 server_msg:349, [0], [0.99904305], [[ 60  97 121 292]]
2022-09-22 20:03:24,231 server_msg:350, [0], [0.99887335], [[ 45 114 146 257]]
2022-09-22 20:03:24,442 server_msg:351, [0], [0.9989449], [[ 45 108 148 263]]
2022-09-22 20:03:24,677 server_msg:352, [0], [0.9990939], [[ 41 111 153 260]]
2022-09-22 20:03:24,892 server_msg:353, [0], [0.99888414], [[ 46 104 153 267]]
2022-09-22 20:03:25,122 server_msg:354, [0], [0.9986188], [[ 45 101 157 270]]
2022-09-22 20:03:25,333 server_msg:355, [0], [0.9982643], [[ 42 100 164 268]]
2022-09-22 20:03:25,553 server_msg:356, [0], [0.9957666], [[ 53  92 156 291]]
2022-09-22 20:03:25,780 server_msg:357, [0], [0.99910814], [[ 52  86 163 302]]
2022-09-22 20:03:25,986 server_msg:358, [0], [0.9995842], [[ 56  86 170 303]]
2022-09-22 20:03:26,176 server_msg:359, [0], [0.99918884], [[ 53  89 164 298]]
2022-09-22 20:03:26,388 server_msg:360, [0], [0.999488], [[ 54  87 174 302]]
2022-09-22 20:03:26,596 server_msg:361, [0], [0.99947596], [[ 53  87 181 296]]
2022-09-22 20:03:26,798 server_msg:362, [0], [0.9993287], [[ 50  88 180 294]]
2022-09-22 20:03:27,014 server_msg:363, [0], [0.9993118], [[ 52  86 180 302]]
2022-09-22 20:03:27,286 server_msg:364, [0], [0.9996757], [[ 55  88 189 296]]
2022-09-22 20:03:27,517 server_msg:365, [0], [0.99961984], [[ 54  88 190 294]]
2022-09-22 20:03:27,798 server_msg:366, [0], [0.9996172], [[ 57  84 189 303]]
2022-09-22 20:03:28,042 server_msg:367, [0], [0.9995133], [[ 58  82 190 307]]
2022-09-22 20:03:28,265 server_msg:368, [0], [0.9996777], [[ 56  82 188 306]]
2022-09-22 20:03:28,662 server_msg:369, [0], [0.9995112], [[ 54  84 197 301]]
2022-09-22 20:03:28,922 server_msg:370, [0], [0.9994876], [[ 54  84 192 300]]
2022-09-22 20:03:29,230 server_msg:371, [0], [0.9997445], [[ 55  84 194 298]]
2022-09-22 20:03:29,502 server_msg:372, [0], [0.9997539], [[ 60  82 193 301]]
2022-09-22 20:03:29,752 server_msg:373, [0], [0.9997204], [[ 58  84 198 298]]
2022-09-22 20:03:30,088 server_msg:374, [0], [0.9997063], [[ 60  82 196 300]]
2022-09-22 20:03:30,365 server_msg:375, [0], [0.9996572], [[ 62  82 192 300]]
2022-09-22 20:03:30,607 server_msg:376, [0], [0.99973553], [[ 61  80 194 303]]
2022-09-22 20:03:30,830 server_msg:377, [0], [0.99962115], [[ 62  84 195 295]]
2022-09-22 20:03:31,116 server_msg:378, [0], [0.99960387], [[ 63  84 193 293]]
2022-09-22 20:03:31,479 server_msg:379, [0], [0.9995567], [[ 59  86 198 289]]
2022-09-22 20:03:31,713 server_msg:380, [0], [0.9996096], [[ 63  84 194 295]]
2022-09-22 20:03:31,957 server_msg:381, [0], [0.99951106], [[ 61  86 200 289]]
2022-09-22 20:03:32,207 server_msg:382, [0], [0.99956185], [[ 65  83 195 292]]
2022-09-22 20:03:32,461 server_msg:383, [0], [0.99967617], [[ 66  84 193 288]]
2022-09-22 20:03:32,699 server_msg:384, [0], [0.99950916], [[ 64  86 201 282]]
2022-09-22 20:03:32,963 server_msg:385, [0], [0.9996481], [[ 66  84 197 286]]
2022-09-22 20:03:33,292 server_msg:386, [0], [0.9996937], [[ 68  82 194 289]]
2022-09-22 20:03:33,623 server_msg:387, [0], [0.9997508], [[ 65  83 196 285]]
